,link
99,https://www.edx.org/professional-certificate/israelx-unlocking-information-security
100,https://www.edx.org/xseries/astrophysics
101,https://www.edx.org/micromasters/columbiax-business-analytics
102,https://www.edx.org/professional-certificate/uc3mx-introduction-java-programming
103,https://www.edx.org/micromasters/chalmersx-emerging-automotive-technologies
104,https://www.edx.org/xseries/business-principles-entrepreneurial-thought
105,https://www.edx.org/micromasters/tecdemonterreyx-innovacion-y-emprendimiento
106,https://www.edx.org/xseries/bases-matematicas-para-estudiar
107,https://www.edx.org/professional-certificate/ibm-ciencia-de-datos-con-python
108,https://www.edx.org/xseries/mitx-introductory-mechanics
109,https://www.edx.org/micromasters/uqx-corporate-innovation
110,https://www.edx.org/professional-certificate/usmx-innovation-and-entrepreneurship
111,https://www.edx.org/xseries/harvardx-shakespeares-outsiders
112,https://www.edx.org/micromasters/nyux-integrated-digital-media
113,https://www.edx.org/professional-certificate/wharton-strategic-management
114,https://www.edx.org/professional-certificate/wageningenx-nutrition-diseases
115,https://www.edx.org/professional-certificate/tecdemonterreyx-habilidades-cuantitativas-esenciales-en-finanzas-negocios-y-ciencia-de-datos
116,https://www.edx.org/xseries/adelaidex-math-trackx
117,https://www.edx.org/professional-certificate/delftx-leadership-essentials-for-engineers
118,https://www.edx.org/professional-certificate/upvalenciax-herramientas-tic-para-la-educacion
119,https://www.edx.org/professional-certificate/hecmontrealx-gerer-son-personnel-de-facon-efficace
120,https://www.edx.org/micromasters/delftx-solar-energy-engineering
121,https://www.edx.org/professional-certificate/iimbx-risk-management-in-banking-and-financial-markets
122,https://www.edx.org/micromasters/ucsandiegox-algorithms-and-data-structures
123,https://www.edx.org/professional-certificate/berkeleyx-foundations-of-data-science
124,https://www.edx.org/xseries/mitx-18.03x-differential-equations
125,https://www.edx.org/microbachelors/asux-professional-writing-microbachelors-program
126,https://www.edx.org/professional-certificate/delftx-buildings-as-sustainable-energy-systems
127,https://www.edx.org/xseries/china-modern-world
128,https://www.edx.org/professional-certificate/harvardx-data-analysis-for-genomics
129,https://www.edx.org/professional-certificate/tecdemonterreyx-ciencia-de-datos
130,https://www.edx.org/xseries/mitx-xminor-in-materials-for-electronic-optical-and-magnetic-devices
131,https://www.edx.org/professional-certificate/edinburghx-digital-marketing-fundamentals
132,https://www.edx.org/xseries/upvalenciax-fundamentos-de-qu%C3%ADmica
133,https://www.edx.org/micromasters/usmx-umgc-bioinformatics
134,https://www.edx.org/professional-certificate/anahuacx-fundamentos-de-ciencia-de-datos-con-r
135,https://www.edx.org/professional-certificate/hkpolyux-fashion-design-and-creation
